frag_id,Species,Treatment,Trial,weight_g_weekly,surface_area_cm3_weekly,rgb_weekly
Pcli 12.4,Pcli,Control,Control,-0.021466666666666672,-0.05433333333333327,0.6791481481481488
Mcav 7.1,Mcav,PBR,PBR 4,0.01738333333333338,0.005499999999999987,1.825833333333333
Mcav 7.2,Mcav,PBR,PBR 4,0.013333333333333345,-0.07716666666666668,-0.6690185185185152
Mcav 7.3,Mcav,PBR,PBR 4,0.056699999999999896,-0.0366666666666667,2.4254074074074077
Mcav 7.4,Mcav,Control,Control,0.0593833333333332,0.008499999999999952,1.0508518518518504
Mcav 8.1,Mcav,PBR,PBR 4,0.046066666666666777,-0.0843333333333333,-0.007296296296296134
Mcav 8.2,Mcav,PBR,PBR 4,0.02283333333333341,-0.017666666666666647,0.1930000000000002
Mcav 8.3,Mcav,PBR,PBR 4,0.03655000000000008,-0.0036666666666666328,1.9526666666666657
Mcav 8.4,Mcav,Control,Control,0.037816666666666755,-0.006000000000000005,0.707425925925925
Mcav 9.1,Mcav,PBR,PBR 4,0.009233333333333427,-0.11266666666666669,0.7363148148148161
Mcav 9.2,Mcav,PBR,PBR 4,0.06608333333333327,-0.010333333333333306,0.38505555555555776
Mcav 9.3,Mcav,PBR,PBR 4,0.02183333333333337,-0.033833333333333306,0.7742037037037051
Mcav 9.4,Mcav,Control,Control,0.07095000000000014,0.028000000000000025,1.588629629629627
Ofav 7.1,Ofav,PBR,PBR 4,0.04908333333333322,0.0011666666666667602,7.419537037037038
Ofav 7.2,Ofav,PBR,PBR 4,0.03185000000000008,-0.06199999999999998,7.159925925925926
Ofav 7.3,Ofav,PBR,PBR 4,0.009250000000000055,-0.04283333333333328,-0.6177777777777796
Ofav 7.4,Ofav,Control,Control,0.04161666666666649,0.14149999999999996,8.329648148148145
Ofav 8.1,Ofav,PBR,PBR 4,0.005433333333333401,-9.999999999999638e-4,9.69225925925926
Ofav 8.2,Ofav,PBR,PBR 4,0.04343333333333336,0.008500000000000027,9.54209259259259
Ofav 8.3,Ofav,PBR,PBR 4,0.055483333333333405,0.009000000000000044,7.244722222222225
Ofav 8.4,Ofav,Control,Control,0.09016666666666644,0.16649999999999995,2.053148148148144
Ofav 9.1,Ofav,PBR,PBR 4,0.037216666666666676,-0.009999999999999934,8.200425925925925
Ofav 9.2,Ofav,PBR,PBR 4,0.0725666666666666,0.014500000000000105,6.563574074074073
Ofav 9.3,Ofav,PBR,PBR 4,0.01943333333333334,-0.033999999999999954,6.884962962962963
Ofav 9.4,Ofav,Control,Control,0.06468333333333358,0.11816666666666668,0.41500000000000153
Pcli 7.1,Pcli,PBR,PBR 4,0.019083333333333268,0.08866666666666667,6.988944444444445
Pcli 7.2,Pcli,PBR,PBR 4,0.013733333333333597,0.08183333333333336,6.281277777777778
Pcli 7.3,Pcli,PBR,PBR 4,0.020716666666666644,0.03816666666666668,5.655222222222221
Pcli 7.4,Pcli,Control,Control,0.060549999999999805,0.06549999999999996,2.141037037037035
Pcli 8.1,Pcli,PBR,PBR 4,0.05449999999999999,0.11833333333333333,5.435611111111108
Pcli 8.2,Pcli,PBR,PBR 4,0.07895000000000015,0.0650000000000001,5.752796296296296
Pcli 8.3,Pcli,PBR,PBR 4,0.04375000000000018,-0.03083333333333334,8.24761111111111
Pcli 8.4,Pcli,Control,Control,0.08706666666666685,0.07966666666666662,2.3411481481481453
Pcli 9.1,Pcli,PBR,PBR 4,0.011433333333333332,0.00216666666666665,7.000481481481482
Pcli 9.2,Pcli,PBR,PBR 4,0.06223333333333336,0.05966666666666668,6.362074074074073
Pcli 9.3,Pcli,PBR,PBR 4,0.051283333333333125,0.03916666666666665,7.147685185185186
Pcli 9.4,Pcli,Control,Control,0.027416666666666718,0.007333333333333414,2.059259259259259
